,FRENCH,ENGLISH,THEME,IMPORTANT,ENGLISH_nopunct,ENGLISH_noswords,ENGLISH_stem,FRENCH_nopunct,FRENCH_noswords,FRENCH_stem
11299,impoli,impolite,vocabulaire personnalite qualites et defauts,,impolite,impolite,impolit,impoli,impoli,impoli
11300,insolent,insolent,vocabulaire personnalite qualites et defauts,,insolent,insolent,insol,insolent,insolent,insol
11301,insouciant,careless,vocabulaire personnalite qualites et defauts,,careless,careless,careless,insouciant,insouciant,insouci
11302,intellectuel,intellectual,vocabulaire personnalite qualites et defauts,,intellectual,intellectual,intellectu,intellectuel,intellectuel,intellectuel
11303,"intrépide, effronté",bold,vocabulaire personnalite qualites et defauts,,bold,bold,bold,intrépide effronté,intrépide effronté,intrépide effronté
11304,intuitif,intuitive,vocabulaire personnalite qualites et defauts,,intuitive,intuitive,intuit,intuitif,intuitif,intuitif
11305,juste,fair-minded,vocabulaire personnalite qualites et defauts,,fairminded,fairminded,fairmind,juste,juste,just
11306,l’égoïsme,selfishness,vocabulaire personnalite qualites et defauts,,selfishness,selfishness,selfish,l’égoïsme,’ égoïsme,’ égoïsm
11307,l’adresse,skill,vocabulaire personnalite qualites et defauts,,skill,skill,skill,l’adresse,’ adresse,’ adress
11308,l’ambition,ambition,vocabulaire personnalite qualites et defauts,,ambition,ambition,ambit,l’ambition,’ ambition,’ ambit
11309,l’arrogance,arrogance,vocabulaire personnalite qualites et defauts,,arrogance,arrogance,arrog,l’arrogance,’ arrogance,’ arrog
11310,l’audace,boldness,vocabulaire personnalite qualites et defauts,,boldness,boldness,bold,l’audace,’ audace,’ audac
11311,l’autorité,authority,vocabulaire personnalite qualites et defauts,,authority,authority,author,l’autorité,’ autorité,’ autorité
11312,l’avidité,greed,vocabulaire personnalite qualites et defauts,,greed,greed,greed,l’avidité,’ avidité,’ avidité
11313,l’efficacité,efficiency,vocabulaire personnalite qualites et defauts,,efficiency,efficiency,effici,l’efficacité,’ efficacité,’ efficacité
11314,l’énergie,energy,vocabulaire personnalite qualites et defauts,,energy,energy,energi,l’énergie,’ énergie,’ énergi
11315,l’entêtement,stubbornness,vocabulaire personnalite qualites et defauts,,stubbornness,stubbornness,stubborn,l’entêtement,’ entêtement,’ entêtement
11316,l’envie,envy,vocabulaire personnalite qualites et defauts,,envy,envy,envi,l’envie,’ envie,’ envi
11317,l’expérience,experience,vocabulaire personnalite qualites et defauts,,experience,experience,experi,l’expérience,’ expérience,’ expérienc
11318,l’honnêteté,honesty,vocabulaire personnalite qualites et defauts,,honesty,honesty,honesti,l’honnêteté,’ honnêteté,’ honnêteté
11319,l’humilité,humility,vocabulaire personnalite qualites et defauts,,humility,humility,humil,l’humilité,’ humilité,’ humilité
11320,l’hypocrisie,hypocrisy,vocabulaire personnalite qualites et defauts,,hypocrisy,hypocrisy,hypocrisi,l’hypocrisie,’ hypocrisie,’ hypocrisi
11321,l’imagination,imagination,vocabulaire personnalite qualites et defauts,,imagination,imagination,imagin,l’imagination,’ imagination,’ imagin
11322,l’innocence,innocence,vocabulaire personnalite qualites et defauts,,innocence,innocence,innoc,l’innocence,’ innocence,’ innoc
11323,l’insolence,insolence,vocabulaire personnalite qualites et defauts,,insolence,insolence,insol,l’insolence,’ insolence,’ insol
11324,l’insouciance,carelessness,vocabulaire personnalite qualites et defauts,,carelessness,carelessness,careless,l’insouciance,’ insouciance,’ insouci
11325,la bonté,kindness,vocabulaire personnalite qualites et defauts,,kindness,kindness,kind,la bonté,bonté,bonté
11326,la brutalité,brutality,vocabulaire personnalite qualites et defauts,,brutality,brutality,brutal,la brutalité,brutalité,brutalité
11327,la charité,charity,vocabulaire personnalite qualites et defauts,,charity,charity,chariti,la charité,charité,charité
11328,la cruauté,cruelty,vocabulaire personnalite qualites et defauts,,cruelty,cruelty,cruelti,la cruauté,cruauté,cruauté
11329,la désobéissance,disobedience,vocabulaire personnalite qualites et defauts,,disobedience,disobedience,disobedi,la désobéissance,désobéissance,désobéiss
11330,la générosité,generosity,vocabulaire personnalite qualites et defauts,,generosity,generosity,generos,la générosité,générosité,générosité
11331,la gourmandise,greediness,vocabulaire personnalite qualites et defauts,,greediness,greediness,greedi,la gourmandise,gourmandise,gourmandis
11332,la lâcheté,cowardice,vocabulaire personnalite qualites et defauts,,cowardice,cowardice,cowardic,la lâcheté,lâcheté,lâcheté
11333,la maladresse,clumsiness,vocabulaire personnalite qualites et defauts,,clumsiness,clumsiness,clumsi,la maladresse,maladresse,maladress
11334,la méchanceté,malice,vocabulaire personnalite qualites et defauts,,malice,malice,malic,la méchanceté,méchanceté,méchanceté
11335,la modestie,modesty,vocabulaire personnalite qualites et defauts,,modesty,modesty,modesti,la modestie,modestie,modesti
11336,la paresse,laziness,vocabulaire personnalite qualites et defauts,,laziness,laziness,lazi,la paresse,paresse,paress
11337,la patience,patience,vocabulaire personnalite qualites et defauts,,patience,patience,patienc,la patience,patience,patienc
11338,la politesse,politeness,vocabulaire personnalite qualites et defauts,,politeness,politeness,polit,la politesse,politesse,politess
11339,la ponctualité,punctuality,vocabulaire personnalite qualites et defauts,,punctuality,punctuality,punctual,la ponctualité,ponctualité,ponctualité
11340,la prudence,cautiousness,vocabulaire personnalite qualites et defauts,,cautiousness,cautiousness,cautious,la prudence,prudence,prudenc
11341,la sensibilité,sensitiveness,vocabulaire personnalite qualites et defauts,,sensitiveness,sensitiveness,sensit,la sensibilité,sensibilité,sensibilité
11342,la sincérité,sincerity,vocabulaire personnalite qualites et defauts,,sincerity,sincerity,sincer,la sincérité,sincérité,sincérité
11343,la ténacité,tenacity,vocabulaire personnalite qualites et defauts,,tenacity,tenacity,tenac,la ténacité,ténacité,ténacité
11344,la timidité,shyness,vocabulaire personnalite qualites et defauts,,shyness,shyness,shyness,la timidité,timidité,timidité
11345,lâche,cowardly,vocabulaire personnalite qualites et defauts,,cowardly,cowardly,cowardli,lâche,lâche,lâche
11346,le courage,courage,vocabulaire personnalite qualites et defauts,,courage,courage,courag,le courage,courage,courag
11347,le mépris,contempt,vocabulaire personnalite qualites et defauts,,contempt,contempt,contempt,le mépris,mépris,mépri
11348,"le soin, l’attention",carefulness,vocabulaire personnalite qualites et defauts,,carefulness,carefulness,care,le soin l’attention,soin ’ attention,soin ’ attent
11349,malfaisant,harmful,vocabulaire personnalite qualites et defauts,,harmful,harmful,harm,malfaisant,malfaisant,malfais
11350,marrant,funny,vocabulaire personnalite qualites et defauts,,funny,funny,funni,marrant,marrant,marrant
11351,méprisant,contemptuous,vocabulaire personnalite qualites et defauts,,contemptuous,contemptuous,contemptu,méprisant,méprisant,méprisant
11352,modeste,modest,vocabulaire personnalite qualites et defauts,,modest,modest,modest,modeste,modeste,modest
11353,négligent,careless,vocabulaire personnalite qualites et defauts,,careless,careless,careless,négligent,négligent,négligent
11354,obéissant,obedient,vocabulaire personnalite qualites et defauts,,obedient,obedient,obedi,obéissant,obéissant,obéiss
11355,persistant,persistent,vocabulaire personnalite qualites et defauts,,persistent,persistent,persist,persistant,persistant,persist
11356,placide,placid,vocabulaire personnalite qualites et defauts,,placid,placid,placid,placide,placide,placid
11357,poli,polite,vocabulaire personnalite qualites et defauts,,polite,polite,polit,poli,poli,poli
