ID,FRENCH,ENGLISH,THEME,IMPORTANT
7717,provision pour perte,allowance for loss,comptabilite,
7718,quasi-liquidité,cash equivalent,comptabilite,
7719,résultat d’exploitation,operating income,comptabilite,
7720,résultat net,net income,comptabilite,
7721,service comptabilité,accounting department,comptabilite,
7722,société mère,parent company,comptabilite,
7723,société de personnes,partnership,comptabilite,
7724,société en commandite,limited partnership,comptabilite,
7725,solvabilité,solvency,comptabilite,
7726,stock initial,initial inventory,comptabilite,
7727,stock final,ending inventory,comptabilite,
7728,subvention,grant/ subsidy,comptabilite,
7729,titres de placement,investment security,comptabilite,
7730,valeur comptable,book value,comptabilite,
7731,valeur de marché,market value,comptabilite,
7732,valeur nette comptable,net book value,comptabilite,
7733,valorisation,valuation,comptabilite,
7734,un émigrant,an emigrant,comptabilite,
7735,un immigré,an immigrate,vocabulaire immigration,
7736,un locuteur natif,native speaker,vocabulaire immigration,
7737,contrôle des frontières,border control,vocabulaire immigration,
7738,un permis de travail,a work permit,vocabulaire immigration,
7739,un visa de sortie,an exit visa,vocabulaire immigration,
7740,des faux documents,false documents,vocabulaire immigration,
7741,détenu,detainee,vocabulaire immigration,
7742,asile,asylum,vocabulaire immigration,
7743,immigrant légal,legal immigrant,vocabulaire immigration,
7744,immigrant illégal,illegal immigrant,vocabulaire immigration,
7745,système de quota,quota system,vocabulaire immigration,
7746,un visa,visa,vocabulaire immigration,
7747,l’expulsion,deportation,vocabulaire immigration,
7748,asile politique,political asylum,vocabulaire immigration,
7749,camp de réfugiés,refugee camp,vocabulaire immigration,
7750,la citoyenneté,citizenship,vocabulaire immigration,
7751,concitoyen,fellow citizen,vocabulaire immigration,
7752,l’inégalité,inequality,vocabulaire immigration,
7753,pays d’adoption,country of adoption,vocabulaire immigration,
7754,pays d’accueil,host country,vocabulaire immigration,
7755,taux d’immigration,immigration rate,vocabulaire immigration,
7756,facteurs d’attraction,pull factors,vocabulaire immigration,
7757,ségrégation,segregation,vocabulaire immigration,
7758,tests d’alphabétisation,literacy tests,vocabulaire immigration,
7759,quotas d’immigration,immigration quotas,vocabulaire immigration,
7760,identité culturelle,cultural identity,vocabulaire immigration,
7761,bilingue,bilingual,vocabulaire immigration,
7762,barrières linguistiques,language barriers,vocabulaire immigration,
7763,multiculturalisme,multiculturalism,vocabulaire immigration,
7764,le rêve américain,american dream,vocabulaire immigration,
7765,ghetto,ghetto,vocabulaire immigration,
7766,regroupement familial,family reunification,vocabulaire immigration,
7767,l’intégration,integration,vocabulaire immigration,
7768,groupe ethnique,ethnic group,vocabulaire immigration,
7769,le racisme,racism,vocabulaire immigration,
7770,discriminatoire,discriminatory,vocabulaire immigration,
7771,tolérant / intolérant,tolerant / intolerant,vocabulaire immigration,
7772,richesse,wealth,vocabulaire immigration,
7773,la pauvreté,poverty,vocabulaire immigration,
7774,un dissident,a dissident,vocabulaire immigration,
7775,désillusionné,disillusioned,vocabulaire immigration,
7776,précaire,precarious,vocabulaire immigration,
7777,sans argent,penniless,vocabulaire immigration,
7778,sans-abris,homeless,vocabulaire immigration,
7779,assimiler,to assimilate,vocabulaire immigration,
7780,restreindre,to restrict,vocabulaire immigration,
7781,limiter,to limit,vocabulaire immigration,
7782,s’installer,to settle,vocabulaire immigration,
7783,s’adapter à,to adjust to,vocabulaire immigration,
7784,risquer sa vie,to risk one’s life,vocabulaire immigration,
7785,entrer en masse,to swarm into,vocabulaire immigration,
7786,se diriger vers un pays,to head for a country,vocabulaire immigration,
7787,chercher un abri,to seek shelter,vocabulaire immigration,
7788,être obligé de partir,to be forced to move,vocabulaire immigration,
7789,fuir un pays,to flee a country,vocabulaire immigration,
7790,être déraciné,to be uprooted,vocabulaire immigration,
7791,travailler au noir,to work on the side,vocabulaire immigration,
7792,passer la douane,to go through the custom,vocabulaire immigration,
7793,allégorie,an allegory,mythes legendes et heros,
7794,anthropomorphique,anthropomorphic,mythes legendes et heros,
7795,audacieux,daring bold,mythes legendes et heros,
7796,dangereux/ risqué,risky/ hazardous,mythes legendes et heros,
7797,défier,to defy,mythes legendes et heros,
7798,défier quelqu’un,to challenge somebody,mythes legendes et heros,
7799,désintéressé,selfless,mythes legendes et heros,
7800,fabuleux,fabulous,mythes legendes et heros,
7801,faire l’éloge de,to praise,mythes legendes et heros,
7802,fictif,fictional,mythes legendes et heros,
7803,généreuse/ désintéressé,generous/ unselfish,mythes legendes et heros,
7804,honorer,to honor,mythes legendes et heros,
7805,incarner,to embody,mythes legendes et heros,
7806,intelligent/ malin,smart/ clever,mythes legendes et heros,
7807,juste / injuste,fair / unfair,mythes legendes et heros,
7808,l’imaginaire,imaginary,mythes legendes et heros,
7809,la boite de pandore,pandora’s box,mythes legendes et heros,
7810,la bravoure,the bravery,mythes legendes et heros,
7811,la gloire/ la renommée,fame,mythes legendes et heros,
7812,le dévouement,dedication,mythes legendes et heros,
7813,le mal,evil,mythes legendes et heros,
7814,le sauveur,the savior,mythes legendes et heros,
7815,le sort/ le destin,fate,mythes legendes et heros,
7816,le talon d’achille,achilles’ heel,mythes legendes et heros,
7817,mourir en héros,to die a hero’s death,mythes legendes et heros,
7818,oser,to dare,mythes legendes et heros,
7819,prendre sa revanche,to take one’s revenge,mythes legendes et heros,
7820,rusé,cunning/ sly,mythes legendes et heros,
7821,se venger,to avenge,mythes legendes et heros,
7822,surmonter des obstacles,to overcome obstacles,mythes legendes et heros,
7823,surnaturel,supernatural,mythes legendes et heros,
7824,téméraire,rash/ reckless,mythes legendes et heros,
7825,un archétype,an archetype,mythes legendes et heros,
7826,un combat/ une lutte,a fight/ a struggle,mythes legendes et heros,
7827,un exemple,an example,mythes legendes et heros,
7828,un hommage,a tribute,mythes legendes et heros,
7829,un labyrinthe,a labyrinth,mythes legendes et heros,
7830,un pouvoir surnaturel,a supernatural power,mythes legendes et heros,
7831,une aurore,an aurora,mythes legendes et heros,
7832,une bagarre,a fistfight,mythes legendes et heros,
7833,une bande dessinée,a comic,mythes legendes et heros,
7834,une quête,a quest,mythes legendes et heros,
7835,une récompense,a reward,mythes legendes et heros,
7836,vaincre,to defeat/ to overcome,mythes legendes et heros,
7837,amputer,to amputate,verbes utiles sante medecine,
7838,anesthésier,to anaesthetize,verbes utiles sante medecine,
7839,appeler un docteur,to call in a doctor,verbes utiles sante medecine,
7840,arracher/ extraire,to pull out,verbes utiles sante medecine,
7841,atténuer,to ease,verbes utiles sante medecine,
7842,attraper froid,to catch a cold,verbes utiles sante medecine,
7843,attraper une maladie,to catch a disease,verbes utiles sante medecine,
7844,avoir des nausées,to feel sick,verbes utiles sante medecine,
7845,avoir le vertige,to feel dizzy,verbes utiles sante medecine,
7846,boiter,to limp,verbes utiles sante medecine,
7847,calmer,to soothe,verbes utiles sante medecine,
7848,détruire des cellules,to destroy cells,verbes utiles sante medecine,
7849,diagnostiquer,to diagnose,verbes utiles sante medecine,
7850,donner des sédatifs,to sedate,verbes utiles sante medecine,
7851,donner une injection,to give an injection,verbes utiles sante medecine,
7852,être alité,to be laid up,verbes utiles sante medecine,
7853,être blessé,to be injured,verbes utiles sante medecine,
7854,être cloué au lit,to be bedridden,verbes utiles sante medecine,
7855,faire mal,to hurt,verbes utiles sante medecine,
7856,faire un bilan de santé,to get a checkup,verbes utiles sante medecine,
7857,faire une bronchite,to get bronchitis,verbes utiles sante medecine,
7858,faire une greffe,to transplant,verbes utiles sante medecine,
7859,faire une incision,to make an incision,verbes utiles sante medecine,
7860,gagner des force,to gain strength,verbes utiles sante medecine,
7861,greffer,to graft,verbes utiles sante medecine,
7862,greffer un organe,to transplant an organ,verbes utiles sante medecine,
7863,guérir,to cure/ to heal,verbes utiles sante medecine,
7864,inoculer,to inoculate,verbes utiles sante medecine,
7865,maintenir en vie,to keep alive,verbes utiles sante medecine,
7866,panser une plaie,to dress a wound,verbes utiles sante medecine,
7867,perdre la vue,to go blind,verbes utiles sante medecine,
7868,prescrire,to prescribe,verbes utiles sante medecine,
7869,psychanalyser,to psychoanalyze,verbes utiles sante medecine,
7870,recoudre,to sew up/ to stitch up,verbes utiles sante medecine,
7871,rédiger une ordonnance,to write a prescription,verbes utiles sante medecine,
7872,s’affaiblir,to weaken,verbes utiles sante medecine,
7873,s’aggraver,to worsen,verbes utiles sante medecine,
7874,se remettre/ se rétablir,to recover,verbes utiles sante medecine,
7875,se sentir fiévreux,to feel feverish,verbes utiles sante medecine,
7876,soigner/ traiter,to treat,verbes utiles sante medecine,
7877,stériliser,to sterilise,verbes utiles sante medecine,
7878,subir une opération,to undergo an operation,verbes utiles sante medecine,
7879,tâter le pouls,to feel the pulse,verbes utiles sante medecine,
7880,transfuser,to transfuse,verbes utiles sante medecine,
7881,alphabétique,alphabetical,livres et ecriture,
7882,écrit à la main,handwritten,livres et ecriture,
7883,illisible,illegible/ unreadable,livres et ecriture,
7884,inspiré de,based on,livres et ecriture,
7885,l’interprétation,interpretation,livres et ecriture,
7886,la dédicace,book signing,livres et ecriture,
7887,le narrateur,the narrator,livres et ecriture,
7888,le point de vue,the point of view,livres et ecriture,
7889,le récit,the story/ the narrative,livres et ecriture,
7890,linéaire,linear,livres et ecriture,
7891,majuscule,upper-case,livres et ecriture,
7892,poétique,poetical,livres et ecriture,
7893,prenant,fascinating/ absorbing,livres et ecriture,
7894,simultané,simultaneous,livres et ecriture,
7895,un chapitre,a chapter,livres et ecriture,
7896,un conte de fée,a fairy tale,livres et ecriture,
7897,un extrait,an extract,livres et ecriture,
7898,un gribouillage,a scrawl,livres et ecriture,
7899,un livre de cuisine,a cookbook,livres et ecriture,
7900,un livret,a leaflet/ a booklet,livres et ecriture,
7901,un paragraphe,a paragraph,livres et ecriture,
7902,un résumé,a summary,livres et ecriture,
7903,un roman,a novel,livres et ecriture,
7904,un romancier,a novelist,livres et ecriture,
7905,un stylo-bille,a biro/ a ball-point pen,livres et ecriture,
7906,un stylo-feutre,a felt-pen,livres et ecriture,
7907,un stylo-plume,an ink-pen,livres et ecriture,
7908,un symbole,a symbol,livres et ecriture,
7909,un texte,a text,livres et ecriture,
7910,un thème,a theme,livres et ecriture,
7911,une citation,a quotation,livres et ecriture,
7912,une encyclopédie,an encyclopedia,livres et ecriture,
7913,une expression,a phrase,livres et ecriture,
7914,une faute d’orthographe,a spelling mistake,livres et ecriture,
7915,une lettre,a letter,livres et ecriture,
7916,une nouvelle,a short story,livres et ecriture,
7917,une péripétie,a twist,livres et ecriture,
7918,une préface,a preface,livres et ecriture,
7919,une rime,a rhyme,livres et ecriture,
7920,une transcription,a transcript,livres et ecriture,
7921,citer,to quote,livres et ecriture,
7922,déchiffrer,to decipher,livres et ecriture,
7923,décrire,to describe,livres et ecriture,
7924,emprunter un livre,to borrow a book,livres et ecriture,
7925,évoquer,to evoke,livres et ecriture,
7926,faire un brouillon,to make a draft,livres et ecriture,
7927,noter,to note,livres et ecriture,
7928,raconter,to tell,livres et ecriture,
7929,ramener un livre,to return a book,livres et ecriture,
7930,réécrire,to rewrite,livres et ecriture,
7931,reformuler,to reword,livres et ecriture,
7932,transcrire,to transcribe,livres et ecriture,
7933,affirmatif,affirmative,livres et ecriture,
7934,franc/ sincère,frank/ sincere,par theme langage parole,
7935,l’intonation,intonation,par theme langage parole,
7936,la prononciation,pronunciation,par theme langage parole,
7937,négatif,negative,par theme langage parole,
7938,pluriel,plural,par theme langage parole,
7939,singulier,singular,par theme langage parole,
7940,un accent,an accent,par theme langage parole,
7941,un adjectif,an adjective,par theme langage parole,
7942,un adverbe,an adverb,par theme langage parole,
7943,un dialecte,a dialect,par theme langage parole,
